7256,14593,5931,370,490,-2290,4636,-2379,-613
8351,12043,5956,4377,748,-8681,4863,-2209,-647
8856,11905,6177,4949,254,-10234,4983,-1984,-663
9867,11394,6123,4799,956,-10310,5011,-1909,-713
10540,10331,6899,5006,1700,-11409,5111,-1645,-736
11393,9442,6748,5095,2138,-13828,5136,-1470,-748
12204,8675,6886,5945,3456,-16216,5250,-1131,-772
12700,6873,7122,6841,3763,-17611,5291,-857,-692
13481,5735,6875,7621,3939,-19534,5324,-428,-639
14043,3870,6705,8833,4601,-20431,5342,-154,-613
13934,1976,6654,9037,4087,-22133,5294,376,-580
14216,298,6179,9808,3430,-22771,5200,733,-472
14584,-236,6087,7276,2608,-21234,5003,1266,-319
13605,-3381,5102,5848,1749,-19715,4854,1554,-310
12595,-4620,4990,6218,957,-19302,4638,1932,-263
12636,-5328,4781,3489,62,-15625,4421,2187,-187
12531,-7808,4669,1112,-858,-11189,4158,2475,-159
12412,-8139,5451,649,-1752,-7426,4059,2591,-191
12882,-8924,6072,-974,-2556,-3113,3869,2752,-226
