6904,1242,-14018,839,4393,-1549,3393,690,-4225

12200,2895,-28679,1543,10752,-2058,6586,1314,-8322

15033,4592,20549,2913,18071,-2463,9374,1936,-12252

17116,6180,4545,3024,20706,-2113,11876,2600,-16098

18411,8050,-11786,3388,20541,-1949,14299,3275,-19901

19884,10231,-28173,3603,20276,-2010,16691,3942,-23695

21576,12086,21016,3939,20630,-1920,19090,4617,-27484

22075,13769,1541,5805,21713,-1788,21473,5271,-31250

23243,15796,-14734,6293,22061,-1674,23799,5894,30469

24815,17971,-30767,7004,21724,-817,26124,6475,26705

26072,20304,18474,7167,21206,-1070,28457,7015,22973

27123,22380,2237,7251,21437,-1227,30837,7554,19217

28263,24457,-14071,7457,21760,-1069,-32317,8134,15448

30953,26775,-30103,7462,21774,-1871,-29970,8708,11684

32738,28773,19200,7680,22200,-2280,-27607,9358,7941

-32455,30569,1877,8335,23241,-2854,-25324,9978,4230

-26495,-30531,-15356,9527,25889,-6844,-23164,10652,585

-15394,2233,-23085,-10748,-30524,25924,-20524,13110,-2729

22863,12540,28344,-12362,26729,-78,-19688,17370,-5781

9739,11505,10620,-12446,25198,-8292,-18506,21203,-9392

6288,10101,-5852,-13162,25881,-7043,-17389,25026,-12976

3678,9806,-20788,-14511,26160,-6899,-16445,29086,-16622

279,8679,27909,-14421,26503,-6699,-15528,-32336,-20280

-1461,7457,11656,-14005,26940,-5824,-14634,-28178,-23934

-4676,6334,-4129,-13954,27572,-5148,-13784,-23993,-27635

-7407,4988,-20495,-13385,27167,-5896,-12937,-19806,-31333

-11153,3929,28589,-12776,28242,-5695,-12094,-15652,30557

-19890,5094,8651,-20929,18315,7089,-11101,-11411,26860

-22293,1747,-3582,-28486,16886,28018,-8940,-6426,22863

-20672,-2930,-20902,20314,6964,-10456,-5312,-1704,18215

-13255,-11007,-20646,17406,-129,-4846,-694,2861,11842

9016,-7970,-28762,-27978,24097,16398,5006,5586,6803

21858,-5503,12195,25893,-12369,10537,9431,9728,4760

26363,-8161,-6505,21540,-7823,8803,13880,15244,2579

-31752,-13750,-26939,22816,-6270,4122,18024,20874,-47

-30988,-20016,22926,23476,-5964,4055,21842,26667,-2742

-28012,-25992,8324,24634,-6271,3628,25639,32432,-5389

-25372,-31865,-7255,25607,-5749,3946,29508,-27356,-7970

-22003,28015,-22896,26155,-5545,3993,-32162,-21649,-10435

-18810,22734,27148,26578,-5330,4194,-28290,-15991,-12868

-16010,17308,12114,26988,-5348,4310,-24410,-10312,-15214

-13126,12039,-3076,27469,-5141,4667,-20520,-4637,-17564

-10739,6965,-17721,26988,-5232,3758,-16640,1042,-19997

-7469,1778,-32550,26881,-5152,3397,-12816,6735,-22464

-4267,-3451,17696,27218,-5093,3528,-9007,12435,-24884

