23052,2341,-30092,-20588,12427,30654,5827,25025,-1612

15980,2178,20564,-20330,12357,30653,6531,25865,-5752

8826,2000,5583,-20138,11905,30380,7235,26688,-9873

2231,2225,-9822,-19802,13974,28838,7924,27460,-13971

-3837,3459,-27355,-18741,10733,25624,8673,28158,-18032

65,9084,16028,-22518,-209,11489,9995,28725,-21925

-1275,17059,-4018,-26139,-6761,-10587,12255,29575,-25746

-6903,24590,-19626,-32360,-3207,-29709,14657,31235,-29618

-14261,28892,30973,28074,-2186,19967,16920,-31866,31952

-18607,30967,16690,22283,-1864,5570,18761,-28804,27923

-24658,-32489,3827,17735,-2689,-8736,20284,-25325,23785

-30469,-29721,-10797,15340,-4450,-22934,21400,-21634,19554

26543,-26343,-25684,12985,-3686,27658,22054,-18035,15130

11804,-26268,30743,13843,-2497,17915,21983,-14645,10720

-260,-28112,10567,14626,-2835,15765,21095,-11748,6895

