-16870,9939,4762,1780,11,6481,4758,-2577,-589
7404,16147,9865,1186,1491,-4151,4805,-2446,-584
7892,13810,11835,2509,1854,-3966,4865,-2409,-562
7019,13774,10429,-2369,1996,-4702,4932,-2348,-578
7074,12535,8281,-4357,1898,-7076,4990,-2289,-503
6610,11871,7702,-3600,2927,-8972,5100,-2199,-418
7247,10648,6322,-3772,3754,-14178,5234,-2032,-323
9571,10829,7412,-2640,6730,-19220,5387,-1786,-193
10575,9448,6215,-4823,6040,-20580,5603,-1441,-37
12272,6493,4822,-3848,7433,-24942,5723,-983,101
13359,4777,4018,-3544,9269,-26733,5803,-466,281
13424,41,1479,-3922,9988,-29477,5833,140,444
16374,-865,2230,-2635,10925,-31872,5707,804,614
15830,-2131,1849,-2642,10799,-26978,5458,1424,753
12152,-5750,295,-1508,9559,-24407,5157,1888,917
9924,-7327,519,-794,9377,-28445,4794,2349,1053
9445,-8380,1884,-5080,7533,-29964,4274,2787,1062
9155,-11184,1291,-8002,7526,-29114,3738,3109,1017
5539,-15072,495,-7485,6529,-30056,3163,3343,921
6856,-13745,2360,-8134,6667,-27807,2474,3481,761
