2721,13485,-10687,1948,-4904,-9149,2304,1293,-2514
-4337,-2137,18384,497,1378,178,2035,1481,-2460
-2872,-1415,19674,864,4854,-1246,2063,1526,-2478
564,-5932,16687,-39,3881,301,2286,1512,-2458
4231,-3036,18773,-3892,6341,2009,2313,1538,-2444
1571,-5049,19303,-4383,6300,5157,2458,1370,-2462
1964,-4006,18163,-2739,6271,1904,2654,1306,-2473
4708,-2841,18353,-2054,7205,859,2765,1249,-2445
4782,-2301,19149,-1083,7301,4021,2922,1212,-2452
4245,-2434,17754,-2353,8357,2962,3108,1142,-2436
6363,-920,17532,-2411,9876,2768,3335,1065,-2368
5381,-417,17073,-1381,12190,3007,3557,982,-2315
5946,396,16218,-1246,12426,1849,3758,949,-2135
6834,754,13233,-1041,12350,1817,4022,917,-2077
6527,652,12956,199,12115,1608,4244,870,-1901
6375,845,12495,-1259,11105,1159,4445,807,-1755
7611,574,9288,-883,10316,435,4601,806,-1684
6825,622,8888,1055,9781,-499,4736,767,-1451
8264,633,6790,1818,8344,-2176,4879,819,-1298
8611,-120,4520,3899,7944,-1875,4937,860,-1157
